Species,StockVersion,"ProductionRegion
Number",ManagementUnitNumber,RRTerm_PR,"RRTerm
_PR_MU",StockID,StockLongName,StockName,StkGroup,MZGroup,StkLabel,TYPE,PR_Alpha,NatManagementObj
COHO,1,8,7,8,4,133,Quillayute River Fall Hatchery UnMarked,U-quilfh,67,,Quillayute River Fall Hatchery,Hatchery,H,
COHO,1,8,8,8,4,134,Quillayute River Fall Hatchery Marked,M-quilfh,67,,Quillayute River Fall Hatchery,Hatchery,H,
COHO,1,9,1,9,1,135,Hoh River Wild UnMarked,U-hohrvw,68,16,Hoh River Wild,Wild,I,Hoh River
COHO,1,9,2,9,1,136,Hoh River Wild Marked,M-hohrvw,68,16,Hoh River Wild,Wild,I,Hoh River
COHO,1,9,3,9,2,137,Hoh River Hatchery UnMarked,U-hohrvh,69,,Hoh River Hatchery,Hatchery,I,
COHO,1,9,4,9,2,138,Hoh River Hatchery Marked,M-hohrvh,69,,Hoh River Hatchery,Hatchery,I,
COHO,1,10,1,10,1,139,Queets River Fall Natural UnMarked,U-quetfw,70,17,Queets River Fall Natural,Wild,J,Queets River
COHO,1,10,2,10,1,140,Queets River Fall Natural Marked,M-quetfw,70,17,Queets River Fall Natural,Wild,J,Queets River
COHO,1,10,3,10,2,141,Queets River Fall Hatchery UnMarked,U-quetfh,71,,Queets River Fall Hatchery,Hatchery,J,
COHO,1,10,4,10,2,142,Queets River Fall Hatchery Marked,M-quetfh,71,,Queets River Fall Hatchery,Hatchery,J,
COHO,1,10,5,10,3,143,Queets River Suppl. Hatchery UnMarked,U-quetph,72,,Queets River Suppl. Hatchery,Hatchery,J,
COHO,1,10,6,10,3,144,Queets River Suppl. Hatchery Marked,M-quetph,72,,Queets River Suppl. Hatchery,Hatchery,J,
COHO,1,11,1,11,1,145,Quinault River Fall Natural UnMarked,U-quinfw,73,18,Quinault River Fall Natural,Wild,K,
COHO,1,11,2,11,1,146,Quinault River Fall Natural Marked,M-quinfw,73,18,Quinault River Fall Natural,Wild,K,
COHO,1,11,3,11,2,147,Quinault River Fall Hatchery UnMarked,U-quinfh,74,,Quinault River Fall Hatchery,Hatchery,K,
